PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
60,10/16/2021,32:52.3,2,5,"Stoutenborough, Sam",1000016614,Right,GOL_PRA,"Moretto, Steven",1000113391,Right,SAC_STA,Undefined,2,Bottom,0,2,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Error,0,0,,89.14647,-0.799607,-2.338279,2097.810572,229.298214,1:45,5.42639,0.98339,5.67257,-21.52812,14.49946,15.31548,2.88624,0.07851,80.17624,-4.867792,0.397749,0.432005,92.62991,-12.00313,-33.506109,,,,,15.93686,,-28.502991,0.102723,-8.57819,8.00418,-0.79607,50,5.34569,4.60963,-129.17864,-2.49938,-14.24709,31.20225,-18.88033,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,3c974d70-2ec0-11ec-8902-b5e97332f6b2,87.24999,1.53897,,8.97023,,,,2.623,2.90229,-0.06969,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,32:52.3,2021-10-16T13:32:52.2835624-07:00,2021-10-16T20:32:52.2835624Z,GroundBall,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,30bf90a7-330d-4ad6-92b7-47697776722e,54.82412,-130.33866,15.60113,5.42556,-1.79745,-9.44017,-0.97729,5.1393,-7.12354,,2.623,110.80446,,,,,,,,2.90229,-28.25351,,,,,,,,-0.06969,-73.35687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
61,10/16/2021,33:41.6,3,1,"Stoutenborough, Sam",1000016614,Right,GOL_PRA,"McPhillips, Dylan",1000113313,Right,SAC_STA,Undefined,2,Bottom,0,0,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,89.00184,-0.25471,-1.4664,2009.067407,232.815091,1:45,5.43154,0.90461,5.71686,-25.19021,10.63355,12.38768,3.09501,0.57064,80.5928,-4.966075,0.749956,0.430781,84.34825,17.158225,46.133591,4539.377772,71.09296,22.36308,83.93911,212.04981,,55.272418,2.392563,-6.75926,5.84571,-0.78986,50,5.39485,2.76938,-129.12669,-1.42662,-11.29258,29.51969,-22.40771,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,59faa600-2ec0-11ec-8902-b5e97332f6b2,87.49784,22.36337,,8.40905,,,,0.58963,2.95008,-0.73621,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,33:41.6,2021-10-16T13:33:41.6125096-07:00,2021-10-16T20:33:41.6125096Z,LineDrive,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,c09547ed-1704-4ea9-8e3d-0447a73d8a1d,54.77991,-130.21484,14.75985,5.43221,-0.60064,-11.20386,-0.89961,3.18564,-5.64629,237.738623,0.58964,81.91275,-19.41379,3.85322,-0.68811,0.06038,0.01167,-0.00576,0.00074,2.95007,36.49662,-18.54404,1.42837,-0.15695,0.03064,-0.01134,0.00387,-0.00051,-0.7362,85.22026,-10.37454,4.03668,-1.21417,0.28971,-0.05574,0.00711,-0.00041,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
62,10/16/2021,34:08.6,3,2,"Stoutenborough, Sam",1000016614,Right,GOL_PRA,"McPhillips, Dylan",1000113313,Right,SAC_STA,Undefined,2,Bottom,0,0,1,Fastball,Sinker,InPlay,Undefined,GroundBall,FieldersChoice,2,1,,88.48934,-1.410871,-1.815183,2129.492347,252.458126,2:30,5.32677,0.94554,5.54991,-29.29494,6.98882,18.34655,1.56623,0.77768,80.81402,-6.810487,1.459821,0.433538,89.31466,-17.59043,-22.307568,,,,,7.51687,,-23.316823,0.045801,-9.85193,4.2861,-0.80114,50,5.18532,3.2769,-128.408,-4.21435,-16.37376,27.72874,-25.05062,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,6a0fc660-2ec0-11ec-8902-b5e97332f6b2,86.94142,1.72948,,7.67532,,,,1.6118,1.81319,-0.80441,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,34:08.6,2021-10-16T13:34:08.6110888-07:00,2021-10-16T20:34:08.6110888Z,GroundBall,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,0d8daffa-a304-4545-b622-73d89577e2eb,54.94914,-129.47232,13.86437,5.32863,-3.25283,-12.52531,-0.93898,3.90537,-8.18688,,1.6118,115.52418,,,,,,,,1.81319,-39.58797,,,,,,,,-0.80441,-47.39775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
63,10/16/2021,34:53.2,4,1,"Stoutenborough, Sam",1000016614,Right,GOL_PRA,"Rolling, Josh",1000113332,Right,SAC_STA,Undefined,2,Bottom,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.44248,-2.440236,-2.134043,1986.026639,243.978084,2:15,5.40348,0.91193,5.73843,-25.2532,10.47394,18.76623,1.02389,0.48776,80.76422,-7.151796,1.226872,0.4302,,,,,,,,,,,,-10.27654,6.50465,-0.74609,50,5.18494,4.01551,-129.55839,-6.37972,-17.17458,31.2948,-21.30322,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,84b29f60-2ec0-11ec-8902-b5e97332f6b2,87.61603,,,8.67826,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,34:53.2,2021-10-16T13:34:53.2135592-07:00,2021-10-16T20:34:53.2135592Z,,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,b5cd0c01-f801-4faf-b2c4-1a9915712b03,54.75873,-130.70281,15.6474,5.40399,-5.60068,-10.65161,-0.90442,4.64356,-8.58729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
64,10/16/2021,35:10.4,4,2,"Stoutenborough, Sam",1000016614,Right,GOL_PRA,"Rolling, Josh",1000113332,Right,SAC_STA,Undefined,2,Bottom,2,1,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,88.78484,-1.676311,-2.333565,2137.43244,237.413075,2:00,5.4697,0.83177,5.65699,-25.45789,10.66068,14.71627,1.78319,-0.11928,80.57066,-6.416672,0.296384,0.43255,103.84104,14.939047,0.926763,2001.027797,109.74755,23.48247,7.44703,301.94848,,8.370885,2.799912,-8.21284,6.28788,-0.64383,50,5.31173,4.61046,-128.70559,-4.63945,-13.64012,29.17535,-21.731,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,8ee14810-2ec0-11ec-8902-b5e97332f6b2,87.13999,26.94001,,8.21417,,,,1.84609,1.79227,0.10228,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,35:10.4,2021-10-16T13:35:10.3714472-07:00,2021-10-16T20:35:10.3714472Z,LineDrive,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,0b5007ac-9808-4e45-a555-5ed21f1a3194,54.84055,-129.79822,14.58768,5.47024,-3.82562,-10.8655,-0.82606,5.12129,-6.82006,242.057171,1.84613,147.13106,-22.711,4.50691,-0.80293,0.0805,0.00633,-0.00388,0.00046,1.79224,39.26317,-16.33586,0.80929,-0.03176,0.01237,-0.00947,0.00326,-0.00038,0.10226,2.38094,10.61577,-4.06968,1.20675,-0.28348,0.05176,-0.00616,0.00034,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
65,10/16/2021,37:16.6,1,1,"Saul, Eli",1000047540,Right,SAC_STA,"Crawford, Carson",,Right,GOL_PRA,Undefined,3,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.60526,-0.147114,-2.431004,2140.604787,251.200049,2:15,5.40843,1.77073,6.1011,-28.46907,5.38114,12.60544,2.89984,0.5716,82.65762,-5.453814,-0.160395,0.418747,,,,,,,,,,,,-7.17091,3.16205,-1.59006,50,5.3823,5.05157,-131.56225,-1.30731,-12.53102,28.68419,-26.64843,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,da1d6200-2ec0-11ec-8902-b5e97332f6b2,90.01237,,,7.94764,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,37:16.6,2021-10-16T13:37:16.5830312-07:00,2021-10-16T20:37:16.5830312Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,7cf72d39-8f20-4485-a4bc-4f5933ac8fd5,54.39638,-132.51731,14.3421,5.41105,-0.42003,-13.32422,-1.7652,5.4688,-6.26551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
66,10/16/2021,37:33.0,1,2,"Saul, Eli",1000047540,Right,SAC_STA,"Crawford, Carson",,Right,GOL_PRA,Undefined,3,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.67023,-0.210308,-1.411861,2289.347824,244.188711,2:15,5.46916,1.7607,6.0537,-26.40238,6.47815,11.35194,3.07424,1.39955,84.16665,-5.124725,0.632477,0.412706,,,,,,,,,,,,-6.19429,3.71295,-1.65678,50,5.43871,2.7966,-133.25481,-1.39943,-11.18219,27.56486,-25.47129,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,e3e0c5c0-2ec0-11ec-8902-b5e97332f6b2,91.32998,,,7.50358,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,37:33.0,2021-10-16T13:37:32.9542312-07:00,2021-10-16T20:37:32.9542312Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,486d8014-4744-43b8-9845-316e072d9a8c,54.44416,-134.17098,13.78243,5.47116,-0.55285,-12.73565,-1.75591,3.16825,-5.59109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
67,10/16/2021,37:49.5,1,3,"Saul, Eli",1000047540,Right,SAC_STA,"Crawford, Carson",,Right,GOL_PRA,Undefined,3,Top,0,1,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.92683,-1.040099,-1.763512,2269.341157,270.254151,3:00,5.3989,1.70427,6.06593,-31.26561,0.96276,16.64359,1.83033,1.45872,84.93887,-6.825408,1.237303,0.408593,,,,,,,,,,,,-9.06422,1.12941,-1.57615,50,5.30178,3.43385,-134.98626,-3.58381,-16.65336,30.5473,-30.09904,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,edbd08b0-2ec0-11ec-8902-b5e97332f6b2,92.24944,,,7.98795,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,37:49.5,2021-10-16T13:37:49.5382696-07:00,2021-10-16T20:37:49.5382696Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,c691453b-a9e8-405b-8ad4-a5dab4bcc4f1,54.43276,-135.98569,15.27365,5.40292,-2.59905,-15.04952,-1.6974,3.9787,-8.32668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
68,10/16/2021,38:13.1,1,4,"Saul, Eli",1000047540,Right,SAC_STA,"Crawford, Carson",,Right,GOL_PRA,Undefined,3,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.69585,-0.280573,-1.73078,2270.906589,261.987254,2:45,5.49205,1.6737,6.06902,-28.67198,3.8204,19.43907,2.84296,1.69152,84.26644,-5.619906,1.771968,0.410263,,,,,,,,,,,,-10.74008,2.30449,-1.55065,50,5.45481,3.27268,-134.67149,-1.65357,-19.53812,31.82177,-27.98177,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,fbcd0a40-2ec0-11ec-8902-b5e97332f6b2,91.87387,,,8.42941,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,38:13.1,2021-10-16T13:38:13.0754216-07:00,2021-10-16T20:38:13.0754216Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,e32e4a98-652f-4861-8956-9f79793af55e,54.43191,-135.71468,15.91089,5.49399,-0.73626,-13.99089,-1.66843,3.91318,-9.76906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
69,10/16/2021,38:30.8,1,5,"Saul, Eli",1000047540,Right,SAC_STA,"Crawford, Carson",,Right,GOL_PRA,Undefined,3,Top,0,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.20858,-0.55131,-1.001815,2275.222443,242.191832,2:00,5.41757,1.79535,5.71225,-24.10052,9.00095,15.06776,2.8955,2.11761,84.20098,-5.033744,1.694778,0.41409,,,,,,,,,,,,-8.12052,5.0291,-1.72164,50,5.35646,1.70461,-133.97083,-2.14238,-14.70802,29.86816,-23.06525,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,06601a10-2ec1-11ec-8902-b5e97332f6b2,91.02471,,,8.00761,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,38:30.8,2021-10-16T13:38:30.8362408-07:00,2021-10-16T20:38:30.8362408Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,f3976a8d-bdcb-4ddb-aea9-01b96c5f78a8,54.78863,-135.03421,14.93408,5.41812,-1.3212,-11.53262,-1.79165,2.22825,-7.35401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
70,10/16/2021,38:51.1,1,6,"Saul, Eli",1000047540,Right,SAC_STA,"Crawford, Carson",,Right,GOL_PRA,Undefined,3,Top,0,3,2,Fastball,Sinker,HitByPitch,Walk,Undefined,Undefined,0,0,,92.68196,0.722526,-1.375868,2171.854626,252.025494,2:30,5.36391,1.77186,5.87131,-25.88049,6.57307,17.21009,3.87854,1.92785,84.81907,-4.089837,1.711811,0.410018,,,,,,,,,,,,-9.29347,3.43744,-1.67107,50,5.40721,2.50374,-134.71337,0.78238,-17.09349,29.0168,-25.85154,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,126e0a10-2ec1-11ec-8902-b5e97332f6b2,91.92881,,,7.86289,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,38:51.1,2021-10-16T13:38:51.1034536-07:00,2021-10-16T20:38:51.1034536Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,94d6b6d8-5ef3-4940-b389-840e4d316b83,54.6293,-135.70684,14.5084,5.36528,1.66748,-12.92577,-1.76681,3.08899,-8.54674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
71,10/16/2021,39:54.6,2,1,"Saul, Eli",1000047540,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,3,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.68116,0.344014,-2.102701,1791.148007,273.664257,3:00,5.44475,1.5264,5.91105,-33.69419,0.01012,15.1315,2.95641,0.8349,83.54411,-5.860968,0.614899,0.417844,,,,,,,,,,,,-8.28544,0.2324,-1.36625,50,5.45314,4.19278,-131.82357,-0.43579,-14.67753,26.2573,-31.76236,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,3840cf20-2ec1-11ec-8902-b5e97332f6b2,90.20698,,,7.13705,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,39:54.5,2021-10-16T13:39:54.5584296-07:00,2021-10-16T20:39:54.5584296Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,2b6a9c8d-cadf-49a8-8e84-b5c3ab8b3815,54.58898,-132.73448,13.12865,5.44914,0.6661,-15.88118,-1.52054,4.70197,-7.33877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
72,10/16/2021,40:12.7,2,2,"Saul, Eli",1000047540,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,3,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.84246,0.000986,-2.698782,2221.787173,54.148008,7:45,5.59347,1.34814,5.31769,-47.14896,-4.67386,-8.17705,1.66532,-1.86792,75.75185,-8.521322,-4.150193,0.469071,,,,,,,,,,,,3.40583,-2.01508,-1.0974,50,5.55904,5.93201,-118.80922,-1.69909,4.88663,21.95494,-35.06525,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,43122070-2ec1-11ec-8902-b5e97332f6b2,80.3555,,,6.09061,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,40:12.7,2021-10-16T13:40:12.6957736-07:00,2021-10-16T20:40:12.6957736Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,a1feaed0-4052-4b2c-b49c-9d8fc05d3ffe,55.18314,-119.7632,10.97747,5.59977,-0.17547,-17.53263,-1.35054,5.71968,2.44332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
73,10/16/2021,40:29.9,2,3,"Saul, Eli",1000047540,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,3,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.78202,-0.545003,-1.590785,2163.308022,265.436439,2:45,5.40879,1.65462,6.34402,-30.04986,1.91945,13.9317,2.40271,1.35078,85.63316,-6.105925,0.933267,0.406947,,,,,,,,,,,,-7.62142,1.3937,-1.54526,50,5.35501,3.15556,-133.68356,-2.29081,-14.05387,23.6924,-29.60404,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,4d54c650-2ec1-11ec-8902-b5e97332f6b2,92.62244,,,6.14886,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,40:29.9,2021-10-16T13:40:29.8635432-07:00,2021-10-16T20:40:29.8635432Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,0de8e891-b841-4a02-8803-47ccfe9696e7,54.15724,-134.41832,11.8462,5.41182,-1.37272,-14.80202,-1.64988,3.59141,-7.02694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
74,10/16/2021,40:46.5,2,4,"Saul, Eli",1000047540,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,3,Top,0,2,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.70849,-0.049713,-2.032005,2104.20165,267.987601,3:00,5.492,1.58201,6.0922,-31.16431,1.28721,12.24292,2.84897,0.72192,85.20259,-5.797325,0.174333,0.410005,,,,,,,,,,,,-6.7863,0.96323,-1.43168,50,5.47169,4.22321,-133.45683,-1.2245,-12.43177,24.48686,-30.40951,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,573045f0-2ec1-11ec-8902-b5e97332f6b2,91.93174,,,6.50591,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,40:46.5,2021-10-16T13:40:46.4525480-07:00,2021-10-16T20:40:46.4525480Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,db8db2ce-a396-4c4e-9dc3-1ada0515f293,54.40833,-134.26324,12.24343,5.49553,-0.22304,-15.20475,-1.5775,4.63262,-6.21588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
75,10/16/2021,41:06.2,2,5,"Saul, Eli",1000047540,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,3,Top,0,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.06553,0.062112,-1.807316,2291.396617,264.064735,2:45,5.50759,1.6386,6.26981,-28.9662,2.35256,14.59339,3.15103,1.18805,86.33728,-5.307923,0.831653,0.402785,,,,,,,,,,,,-7.98579,1.49524,-1.51158,50,5.49814,3.66612,-135.46912,-0.86188,-15.0567,25.54693,-29.35486,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,62f741e0-2ec1-11ec-8902-b5e97332f6b2,93.57946,,,6.72825,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,41:06.2,2021-10-16T13:41:06.1655720-07:00,2021-10-16T20:41:06.1655720Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,da665245-7ec2-4c94-875d-837aead19ccd,54.23056,-136.26459,12.77346,5.51075,0.05216,-14.67743,-1.63303,4.13494,-7.52835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
76,10/16/2021,41:37.6,2,6,"Saul, Eli",1000047540,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,3,Top,0,3,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,91.94257,-1.528444,-2.675719,2080.937974,275.696563,3:15,5.5385,1.64874,6.14633,-32.51427,-0.3111,11.43776,1.41478,0.12766,85.82755,-7.499061,-0.611735,0.408433,,,,,,,,,,,,-6.5387,0.45551,-1.45078,50,5.40521,5.78124,-133.7367,-4.72713,-12.0529,24.03174,-31.3344,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,75b16a90-2ec1-11ec-8902-b5e97332f6b2,92.28556,,,6.11502,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,41:37.6,2021-10-16T13:41:37.6170000-07:00,2021-10-16T20:41:37.6170000Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,29af09ad-35eb-4c98-a6c7-8cb2a4148957,54.35497,-134.51698,12.01587,5.54218,-3.70973,-15.6672,-1.64485,6.17259,-6.02645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.34817,,0.808909,,-0.77018,1.12179,-0.10594,-2.59853,4.71346,0.51367,,,,-2.52915,111.96473,-10.2994,4.71197,4.83675,-10.28927,0.49692,-9.08401,2.11625,High,High,High,,,High,High,High
77,10/16/2021,42:15.0,3,1,"Saul, Eli",1000047540,Right,SAC_STA,"Lomavita, Caleb",,Right,GOL_PRA,Undefined,3,Top,1,0,0,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,80.54006,0.2045,-1.882003,2155.684479,32.256051,7:00,5.56831,1.77488,5.21447,-49.60341,-5.70114,-4.39457,1.62709,-0.3616,74.64441,-8.746713,-2.661775,0.476886,67.05102,-64.737726,-89.330282,,,,,2.85124,,-11.385046,0.020551,1.72823,-2.62807,-1.5975,50,5.54919,4.01978,-116.99997,-1.36316,2.40879,20.93404,-35.83703,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,8bfde1c0-2ec1-11ec-8902-b5e97332f6b2,79.0386,1.82776,,5.89565,,,,2.78506,1.82776,0.29961,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,42:15.0,2021-10-16T13:42:15.0183592-07:00,2021-10-16T20:42:15.0183592Z,GroundBall,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,9cc2d51a-fa6c-442c-90c6-bc60879ff8f5,55.28719,-117.94218,10.46702,5.57425,0.24981,-17.91852,-1.77598,3.91136,1.20439,,2.78506,0.49055,,,,,,,,1.82776,-88.93634,,,,,,,,0.29961,-41.96553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
